iter	Passed	Remaining
358	1852	3306
359	1857	3301
360	1862	3296
361	1867	3291
362	1873	3287
363	1877	3281
364	1882	3275
365	1889	3272
366	1893	3266
367	1899	3262
368	1905	3257
369	1910	3252
370	1914	3246
371	1920	3242
372	1925	3237
373	1930	3231
374	1936	3228
375	1942	3224
376	1948	3219
377	1954	3215
378	1959	3211
379	1965	3206
380	1971	3202
381	1976	3198
382	1982	3194
383	1988	3190
384	1993	3185
385	1999	3180
386	2005	3176
387	2010	3171
388	2015	3166
389	2021	3161
390	2025	3155
391	2031	3150
392	2037	3146
393	2042	3141
394	2048	3136
395	2053	3132
396	2058	3127
397	2064	3122
398	2070	3118
399	2075	3112
400	2080	3107
401	2086	3103
402	2090	3097
403	2096	3092
404	2102	3088
405	2108	3085
406	2114	3081
407	2120	3077
408	2125	3071
409	2131	3066
410	2136	3061
411	2141	3056
412	2147	3052
413	2153	3048
414	2158	3042
415	2164	3037
416	2169	3033
417	2174	3027
418	2179	3022
419	2185	3017
420	2190	3012
421	2195	3007
422	2201	3002
423	2206	2997
424	2211	2992
425	2217	2987
426	2222	2982
427	2227	2977
428	2233	2972
429	2238	2967
430	2243	2962
431	2249	2957
432	2254	2952
433	2260	2947
434	2266	2943
435	2271	2938
436	2277	2934
437	2283	2930
438	2288	2925
439	2294	2919
440	2298	2913
441	2304	2909
442	2309	2903
443	2314	2898
444	2319	2892
445	2324	2886
446	2329	2881
447	2334	2876
448	2339	2871
449	2344	2866
450	2350	2860
451	2354	2855
452	2359	2849
453	2364	2844
454	2369	2838
455	2374	2832
456	2379	2827
457	2384	2822
458	2389	2816
459	2395	2811
460	2400	2806
461	2405	2800
462	2411	2796
463	2416	2791
464	2421	2786
465	2427	2781
466	2433	2777
467	2438	2771
468	2443	2766
469	2450	2763
470	2455	2758
471	2462	2754
472	2467	2748
473	2471	2743
474	2477	2738
475	2483	2734
476	2488	2728
477	2494	2723
478	2499	2718
479	2503	2712
480	2509	2708
481	2514	2702
482	2519	2696
483	2525	2692
484	2530	2687
485	2535	2681
486	2541	2677
487	2547	2672
488	2552	2666
489	2556	2661
490	2562	2656
491	2567	2650
492	2572	2645
493	2578	2640
494	2582	2635
495	2588	2630
496	2595	2626
497	2599	2620
498	2604	2615
499	2610	2610
500	2615	2605
501	2620	2599
502	2626	2594
503	2631	2589
504	2636	2584
505	2641	2579
506	2646	2573
507	2651	2568
508	2657	2563
509	2662	2558
510	2666	2552
511	2672	2547
512	2677	2541
513	2682	2536
514	2687	2530
515	2692	2525
516	2696	2519
517	2701	2513
518	2706	2508
519	2711	2502
520	2716	2497
521	2721	2491
522	2726	2486
523	2731	2481
524	2736	2475
525	2741	2470
526	2746	2465
527	2752	2460
528	2758	2455
529	2763	2450
530	2768	2445
531	2773	2439
532	2778	2434
533	2783	2428
534	2788	2423
535	2793	2417
536	2797	2412
537	2803	2407
538	2807	2401
539	2812	2396
540	2817	2390
541	2822	2384
542	2827	2379
543	2832	2374
544	2836	2368
545	2841	2362
546	2846	2357
547	2851	2352
548	2856	2346
549	2861	2340
550	2866	2335
551	2871	2330
552	2876	2324
553	2880	2318
554	2886	2314
555	2891	2309
556	2896	2304
557	2902	2298
558	2907	2294
559	2913	2288
560	2918	2283
561	2924	2279
562	2929	2273
563	2934	2268
564	2940	2263
565	2945	2258
566	2950	2253
567	2956	2248
568	2961	2243
569	2966	2237
570	2972	2232
571	2976	2227
572	2981	2222
573	2987	2217
574	2992	2211
575	2997	2206
576	3003	2201
577	3008	2196
578	3013	2191
579	3019	2186
580	3024	2181
581	3029	2175
582	3035	2170
583	3040	2165
584	3045	2160
585	3051	2155
586	3056	2150
587	3062	2145
588	3068	2140
589	3073	2135
590	3078	2130
591	3083	2125
592	3089	2120
593	3093	2114
594	3099	2109
595	3105	2104
596	3109	2099
597	3115	2094
598	3121	2089
599	3125	2083
600	3130	2078
601	3136	2073
602	3141	2068
603	3146	2062
604	3151	2057
605	3156	2052
606	3161	2046
607	3166	2041
608	3171	2036
609	3176	2031
610	3182	2026
611	3187	2021
612	3193	2015
613	3198	2010
614	3203	2005
615	3208	2000
616	3213	1994
617	3218	1989
618	3222	1983
619	3228	1978
620	3233	1973
621	3238	1967
622	3242	1962
623	3247	1957
624	3252	1951
625	3258	1946
626	3263	1941
627	3268	1936
628	3273	1930
629	3278	1925
630	3283	1920
631	3288	1914
632	3293	1909
633	3298	1904
634	3304	1899
635	3308	1893
636	3314	1888
637	3320	1883
638	3325	1878
639	3331	1873
640	3335	1868
641	3340	1862
642	3345	1857
643	3351	1852
644	3356	1847
645	3361	1842
646	3366	1836
647	3371	1831
648	3376	1826
649	3381	1821
650	3386	1815
651	3391	1810
652	3397	1805
653	3402	1800
654	3407	1794
655	3413	1789
656	3418	1784
657	3423	1779
658	3427	1773
659	3432	1768
660	3437	1763
661	3442	1757
662	3447	1752
663	3452	1747
664	3457	1741
665	3462	1736
666	3467	1731
667	3472	1725
668	3477	1720
669	3482	1715
670	3488	1710
671	3493	1704
672	3498	1699
673	3503	1694
674	3508	1689
675	3514	1684
676	3519	1679
677	3525	1674
678	3530	1668
679	3534	1663
680	3540	1658
681	3545	1653
682	3551	1648
683	3556	1642
684	3562	1638
685	3566	1632
686	3572	1627
687	3577	1622
688	3582	1617
689	3587	1611
690	3592	1606
691	3597	1601
692	3602	1595
693	3607	1590
694	3612	1585
695	3615	1579
696	3620	1573
697	3625	1568
698	3631	1563
699	3636	1558
700	3641	1553
701	3646	1547
702	3650	1542
703	3655	1537
704	3661	1532
705	3666	1526
706	3670	1521
707	3675	1516
708	3680	1510
709	3685	1505
710	3690	1500
711	3695	1494
712	3700	1489
713	3705	1484
714	3711	1479
715	3716	1474
716	3720	1468
717	3726	1463
718	3731	1458
719	3736	1453
720	3742	1448
721	3747	1443
722	3753	1437
723	3758	1432
724	3763	1427
725	3768	1422
726	3773	1416
727	3778	1411
728	3783	1406
729	3789	1401
730	3795	1396
731	3800	1391
732	3805	1386
733	3811	1381
734	3816	1375
735	3821	1370
736	3826	1365
737	3831	1360
738	3836	1354
739	3841	1349
740	3845	1344
741	3850	1338
742	3855	1333
743	3860	1328
744	3865	1323
745	3869	1317
746	3874	1312
747	3877	1306
748	3881	1300
749	3886	1295
750	3891	1290
751	3896	1284
752	3900	1279
753	3905	1274
754	3909	1268
755	3912	1262
756	3916	1257
757	3921	1252
758	3926	1246
759	3931	1241
760	3935	1235
761	3940	1230
762	3945	1225
763	3950	1220
764	3954	1214
765	3959	1209
766	3962	1203
767	3966	1198
768	3971	1192
769	3976	1187
770	3980	1182
771	3984	1176
772	3988	1171
773	3993	1165
774	3996	1160
775	4000	1154
776	4006	1149
777	4009	1144
778	4013	1138
779	4018	1133
780	4022	1128
781	4027	1122
782	4031	1117
783	4036	1112
784	4040	1106
785	4045	1101
786	4049	1095
787	4053	1090
788	4058	1085
789	4063	1080
790	4067	1074
791	4073	1069
792	4077	1064
793	4081	1058
794	4085	1053
795	4089	1048
796	4094	1042
797	4098	1037
798	4102	1032
799	4106	1026
800	4110	1021
801	4115	1016
802	4121	1011
803	4125	1005
804	4130	1000
805	4134	995
806	4138	989
807	4143	984
808	4147	979
809	4151	973
810	4155	968
811	4160	963
812	4165	958
813	4171	953
814	4174	947
815	4178	942
816	4182	936
817	4188	931
818	4192	926
819	4195	921
820	4200	915
821	4204	910
822	4209	905
823	4212	899
824	4217	894
825	4222	889
826	4227	884
827	4231	878
828	4235	873
829	4239	868
830	4243	862
831	4247	857
832	4251	852
833	4255	846
834	4260	841
835	4264	836
836	4268	831
837	4272	825
838	4275	820
839	4279	815
840	4284	810
841	4288	804
842	4292	799
843	4295	794
844	4299	788
845	4304	783
846	4308	778
847	4313	773
848	4317	767
849	4321	762
850	4325	757
851	4329	752
852	4333	746
853	4339	741
854	4342	736
855	4346	731
856	4350	725
857	4354	720
858	4358	715
859	4362	710
860	4366	704
861	4370	699
862	4374	694
863	4378	689
864	4383	684
865	4386	678
866	4390	673
867	4394	668
868	4399	663
869	4403	657
870	4406	652
871	4410	647
872	4414	642
873	4417	636
874	4422	631
875	4426	626
876	4430	621
877	4433	616
878	4438	610
879	4443	605
880	4448	600
881	4452	595
882	4456	590
883	4460	585
884	4464	580
885	4468	574
886	4472	569
887	4476	564
888	4480	559
889	4484	554
890	4488	549
891	4491	543
892	4497	538
893	4501	533
894	4504	528
895	4508	523
896	4513	518
897	4518	513
898	4522	508
899	4527	503
900	4532	497
901	4536	492
902	4540	487
903	4544	482
904	4549	477
905	4553	472
906	4557	467
907	4563	462
908	4568	457
909	4573	452
910	4578	447
911	4583	442
912	4586	437
913	4591	432
914	4598	427
915	4602	422
916	4607	417
917	4612	412
918	4616	406
919	4621	401
920	4627	396
921	4632	391
922	4636	386
923	4640	381
924	4645	376
925	4649	371
926	4653	366
927	4657	361
928	4662	356
929	4666	351
930	4670	346
931	4674	341
932	4678	335
933	4682	330
934	4687	325
935	4692	320
936	4696	315
937	4699	310
938	4705	305
939	4710	300
940	4714	295
941	4718	290
942	4722	285
943	4727	280
944	4731	275
945	4735	270
946	4739	265
947	4745	260
948	4750	255
949	4753	250
950	4758	245
951	4762	240
952	4766	235
953	4770	230
954	4774	224
955	4778	219
956	4782	214
957	4786	209
958	4791	204
959	4796	199
960	4799	194
961	4803	189
962	4807	184
963	4812	179
964	4816	174
965	4820	169
966	4824	164
967	4829	159
968	4832	154
969	4836	149
970	4840	144
971	4844	139
972	4848	134
973	4853	129
974	4861	124
975	4864	119
976	4868	114
977	4873	109
978	4877	104
979	4880	99
980	4884	94
981	4890	89
982	4893	84
983	4897	79
984	4902	74
985	4906	69
986	4910	64
987	4914	59
988	4918	54
989	4923	49
990	4926	44
991	4930	39
992	4934	34
993	4939	29
994	4942	24
995	4946	19
996	4950	14
997	4954	9
998	4958	4
999	4962	0
